id,stopidbh6,munnam,locdetcis,coucodiso,fixrouidci,caraddcis,obecnazev,obecid,x,y,zastid,zastx,zasty,max_error_,loc_type
380,27,Ostrava,Muglinov Keramická,,915112||915113||915103||915108,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2869070751922,49.8511489795356,0,S2 M1
391,23,Ostrava,Poruba Telekom.škola,,915008||915009||915004||915003||915145||915007||915017||915011,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.1661789739331,49.8312460891054,0,S2 M1
542,31,Ostrava,Poruba Sokolovská,,915004||915019,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.1686184648998,49.8315180885891,0,S2 M1
362,8,Ostrava,Mor.Ostrava Husův sad,,915112||915105||915102||915103||915108||915104||915107||915109,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2691600932747,49.8223050037029,0,S2 M1
356,28,Ostrava,Dubina Václava Jiřikovského,,915018||915003||915019||915012||915010||915015||915001||915017,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2487061233054,49.7734749017702,0,S2 M1
762,9,Ostrava,Radvanice U Švasty,,915101,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2620760969104,49.8241864965212,0,S2 M1
677,9,Ostrava,Zábřeh Kino Luna,,915006||915015||915002||915007||915011,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2295774274495,49.7923958731598,0,S2 M1
137,3,Brno,Královo Pole nádraží,,737030||737006,Hlinky 151|| 65646 Brno,Brno,582786,16.5888324904368,49.2067854145363,,16.608661920942,49.2077946386134,0,S2 M1
578,17,Ostrava,Sl.Ostrava Na Najmanské,,915111||915104,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2620599095659,49.8214345154504,0,S2 M1
500,17,Ostrava,Heřmanice Koněvova,,915113||915106,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.3214657498439,49.8603800495009,0,S2 M1
770,31,Ostrava,Zábřeh Svornosti,,915011,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2337884104773,49.7923175775266,0,S2 M1
417,27,Brno,Pod nemocnicí,,737025||737037,Hlinky 151|| 65646 Brno,Brno,582786,16.5888324904368,49.2067854145363,,16.5857051391712,49.2107218224736,0,S2 M1
671,2,Ostrava,Vítkovice kolonie Jeremenko,,915006||915001,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2694352611455,49.8084064538208,0,S2 M1
389,11,Ostrava,Třebovice Třebovická,,915008||915009||915004||915003||915019||915145||915007||915017||915011,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.1940086407309,49.8331505735038,0,S2 M1
382,29,Ostrava,Sl.Ostrava Všehrdův sad,,915112||915113||915111||915106,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2772849413074,49.8265843978096,0,S2 M1
747,24,Ostrava,Zábřeh Horymírova,,915002||915007,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2348538789568,49.7969582143883,0,S2 M1
386,5,Ostrava,Poruba Vřesinská,,915008||915009||915005||915007||915017,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.1646206928148,49.8294807959644,0,S2 M1
534,11,Ostrava,Poruba Čistírny,,915004||915019,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.1692801526256,49.8323138097631,0,S2 M1
457,15,Most,sídliště ČD,,575004||575001||575003||575040,tř. Budovatelů 1395/23|| 434 01 Most,Most,567027,13.6149318904883,50.5143244352663,,13.6284498724698,50.5338027359221,0,S2 M1
471,12,Ostrava,Mor.Ostrava Karolina U lávky,,915105,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2583366788052,49.824778106389,0,S2 M1
703,21,Brno,Komín sídliště,,737036,Hlinky 151|| 65646 Brno,Brno,582786,16.5888324904368,49.2067854145363,,16.5655231919726,49.2218303101704,0,S2 M1
472,13,Ostrava,Mor.Ostrava Stodolní žel.zast.,,915105,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2823695522374,49.8353366075587,0,S2 M1
530,5,Ostrava,Kunčice Vratimovská,,915004||915145||915014,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2965839905964,49.7998515909909,0,S2 M1
735,11,Ostrava,Hrabůvka Moravská,,915001,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.270378883725,49.8000078007884,0,S2 M1
757,17,Ostrava,Sl.Ostrava radnice,,915107||915101||915238,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2823835098722,49.8326990703801,0,S2 M1
345,17,Ostrava,Mar.Hory Daliborova,,915018||915008||915009||915004||915003||915019||915145||915011,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2542057816091,49.8274532952605,0,S2 M1
758,5,Ostrava,Přívoz Důl Odra,,915014||915011,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2800191672197,49.841150921088,0,S2 M1
737,1,Brno,Rakovecká,,737011||737003||737394,Hlinky 151|| 65646 Brno,Brno,582786,16.5888324904368,49.2067854145363,21009,16.5187114434081,49.226403337859,50,S1
390,22,Ostrava,Poruba Hlavní třída,,915008||915009||915005||915007||915017,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.1818791036609,49.8334345876566,0,S2 M1
135,1,Brno,Náměstí 28.dubna,,737030,Hlinky 151|| 65646 Brno,Brno,582786,16.5888324904368,49.2067854145363,,16.6148181807125,49.207413278174,0,S2 M1
374,21,Ostrava,Mor.Ostrava Pivovar,,915112||915102||915107||915109,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2741030548369,49.8392336760896,0,S2 M1
387,7,Ostrava,Svinov mosty horní zast.,,915008||915009||915004||915003||915019||915145||915007||915017||915011,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.210436405661,49.8227561412667,0,S2 M1
535,13,Ostrava,Sl.Ostrava Důl Zárubek,,915004,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.2925570580192,49.8346822181627,0,S2 M1
501,18,Ostrava,Heřmanice Parcelní,,915113||915106,Poděbradova 494/2|| 702 00 Ostrava - Moravská Ostrava,Ostrava,554821,18.2462393222247,49.8140580055113,,18.3214657498439,49.8603800495009,0,S2 M1
