id,coucodiso,stopidszdc,namesinwri,fixrouidci,zastid,zastx,zasty,altname,loc_type,X
614,CZ,55919,Hrdly,xxxx0000170A,1784,14.1736952759894,50.4853737730801,,S1,-754185
1125,CZ,76985,Hamry-Hojsova Stráž,xxxx0000764A,1,13.1749231894112,49.211444410549,,S1,-845949
1127,CZ,77005,Špičák,xxxx0000764A,5,13.2226317260514,49.1617116225592,,S1,-843355
2599,CZ,73952,Nové Údolí,xxxx0008101A,6,13.7937424058457,48.829230496575,,S1,-807505
2597,CZ,73942,Stožec,xxxx0008101A,7,13.8207979554291,48.8585550201781,,S1,-805069
2594,CZ,73932,Černý Kříž,xxxx0008100A,8,13.8610500260435,48.8608487152309,,S1,-802109
1308,CZ,75912,Horní Planá,xxxx0001068A,9,14.0265623715099,48.7650577112428,,S1,-791594
1306,CZ,75892,Nová Pec,xxxx0001068A,10,13.9534564854733,48.7899072222361,,S1,-796521
1689,CZ,75202,Lenora,xxxx0001578A,11,13.7967346940577,48.9283589677446,,S1,-805695
1692,CZ,73912,Volary,xxxx0001578A,12,13.883210386144,48.9072501930727,,S1,-799760
1685,CZ,75162,Kubova Huť,xxxx0001578A,13,13.7746456601884,48.98301968455,,S1,-806416
1684,CZ,75142,Lipka,xxxx0001578A,14,13.7355975117177,49.0201600823164,,S1,-808644
2986,CZ,73892,Zbytiny,xxxx0018000A,15,13.9769518319164,48.9371519823836,,S1,-792485
2983,CZ,73862,Chroboly,xxxx0018000A,16,14.0550848699496,48.9563558724488,,S1,-786517
2980,CZ,73832,Prachatice,xxxx0018000A,17,14.0084317639395,49.015140500401,,S1,-788973
1682,CZ,75122,Vimperk,xxxx0001578A,18,13.7910510532465,49.0556817032897,,S1,-804060
1681,CZ,75112,Bohumilice v Čechách,xxxx0001578A,19,13.8008632612716,49.0928349062903,,S1,-802753
1679,CZ,75092,Čkyně,xxxx0001578A,20,13.8291462688603,49.1111581142605,,S1,-800415
